	商品名称	总数	
G620 尊享版	【内部处理机】G620 尊享版 4GB（黑色）	25	26075
G620 尊享版	【内部处理机】G620-L72联通版 4GB（白色）	10	
HUAWEI G9 Plus 移动联通双4G 3GB 32GB 标准版	【内部处理机】HUAWEI G9 Plus 双4G版 3GB+32GB（铂雅金）	3	
HUAWEI G9 Plus 移动联通双4G 3GB 32GB 标准版	【内部处理机】HUAWEI G9 Plus 双4G版 3GB+32GB（月光银）	130	
HUAWEI G9 Plus 移动4G 3GB 32GB 标准版	【内部处理机】HUAWEI G9 Plus 移动定制版 3GB+32GB（铂雅金）	2	
HUAWEI G9 Plus (MLA-TL00)	【内部处理机】HUAWEI G9 Plus 移动定制版 3GB+32GB（月光银）	7	
HUAWEI G9 Plus 全网通 3GB 32GB 标准版	【内部处理机】HUAWEI G9 Plus 移动全网通版 3GB+32GB（铂雅金）	1	
HUAWEI G9 Plus 全网通 3GB 32GB 标准版	【内部处理机】HUAWEI G9 Plus 移动全网通版 3GB+32GB（月光银）	99	
HUAWEI G9 青春版 移动联通双4G 3GB 16GB	【内部处理机】HUAWEI G9 青春版 联通定制版 3GB+16GB（白色）	5	
HUAWEI G9 青春版 全网通 3GB 16GB	【内部处理机】HUAWEI G9 青春版 全网通版 双卡双待 16GB（白色）	3	
HUAWEI G9 青春版 全网通 3GB 16GB	【内部处理机】HUAWEI G9 青春版 全网通版 双卡双待 16GB（黑色）	2	
HUAWEI G9 青春版 全网通 3GB 16GB	【内部处理机】HUAWEI G9 青春版 全网通版 双卡双待 16GB（金色）	5	
HUAWEI G9 青春版	【内部处理机】HUAWEI G9 青春版 移动定制版 3GB+16GB（白色）	326	
HUAWEI G9 青春版	【内部处理机】HUAWEI G9 青春版 移动定制版 3GB+16GB（金色）	43	
HUAWEI G9 青春版 移动联通双4G 3GB 16GB	【内部处理机】HUAWEI G9青春版 3GB+16GB（金色）	209	
HUAWEI MediaPad M2 8.0	【内部处理机】HUAWEI M2 8英寸 64GB LTE平板电脑（香槟金）	18	
HUAWEI Mate 9 全网通 4GB 32GB	【内部处理机】HUAWEI Mate9 全网通版 4GB+32GB（苍穹灰）	317	
HUAWEI Mate 9 全网通 4GB 32GB	【内部处理机】HUAWEI Mate9 全网通版 4GB+32GB（月光银）	229	
HUAWEI Mate 9 全网通 4GB 64GB 高配版	【内部处理机】HUAWEI Mate9 全网通版 4GB+64GB （摩卡金）	178	
HUAWEI Mate 9 全网通 4GB 64GB 高配版	【内部处理机】HUAWEI Mate9 全网通版 4GB+64GB（香槟金）	85	
HUAWEI Mate 9 全网通 6GB 128GB 尊享版	【内部处理机】HUAWEI Mate9 全网通版 6GB+128GB（黑色）	130	
HUAWEI Mate 9 全网通 6GB 128GB 尊享版	【内部处理机】HUAWEI Mate9 全网通版 6GB+128GB（摩卡金）	94	
HUAWEI Mate 9 全网通 6GB 128GB 尊享版	【内部处理机】HUAWEI Mate9 全网通版 6GB+128GB（陶瓷白）	50	
HUAWEI Mate 9 全网通 4GB 64GB 高配版	【内部处理机】HUAWEI Mate9 全网通高配版 4GB+64GB（黑色）	216	
HUAWEI Mate 9 全网通 4GB 64GB 高配版	【内部处理机】HUAWEI Mate9 全网通高配版 4GB+64GB（陶瓷白）	81	
HUAWEI nova 全网通/LTE 4GB 64GB 高配版	【内部处理机】HUAWEI nova 全网通高配版 4GB+64GB（玫瑰金）	60	
HUAWEI nova 全网通/LTE 4GB 64GB 高配版	【内部处理机】HUAWEI nova 全网通高配版 4GB+64GB（香槟金/白）	1	
HUAWEI nova 全网通/LTE 4GB 64GB 高配版	【内部处理机】HUAWEI nova 全网通高配版 4GB+64GB（曜石黑）	89	
HUAWEI nova 全网通 3GB 32GB 标准版	【内部处理机】HUAWEI nova 全网通移动定制标配版 3GB+32GB（皓月银）	5	
HUAWEI nova 全网通 3GB 32GB 标准版	【内部处理机】HUAWEI nova 全网通移动定制标配版 3GB+32GB（香槟金）	1	
HUAWEI P9 电信4G 3GB 32GB	【内部处理机】HUAWEI P9 电信定制版 3GB+32GB（钛银灰）	80	
麦芒 5 全网通 3GB 32GB 标准版	【内部处理机】HUAWEI 麦芒5 全网通版 3GB+32GB（香槟金）	5	
麦芒 5 全网通 4GB 64GB 高配版	【内部处理机】HUAWEI 麦芒5 全网通高配版 4GB+64GB（摩卡金）	2	
麦芒 5 全网通 4GB 64GB 高配版	【内部处理机】HUAWEI 麦芒5 全网通高配版 双卡双待 64GB（香槟金）	1	
Ascend Mate7移动版（标配）	【内部处理机】华为 Ascend Mate7 标配版 移动4G智能手机 16GB（月光银）	323	
Ascend P7联通版	【内部处理机】华为 Ascend P7 联通版 2GB+16GB （黑色）	2	
Ascend P7联通版	【内部处理机】华为 HUAWEI Ascend P7 双卡双待 联通4G版 2GB+16GB（黑色）	1	
Ascend P7联通版	【内部处理机】华为 HUAWEI Ascend P7双卡双待 联通4G智能手机 16GB（黑色）	3	
MateS 中国电信定制臻享32GB版	【内部处理机】华为 HUAWEI Mate S 电信定制臻享版 3GB+32GB（苍山灰）	16	
MateS 中国电信定制臻享32GB版	【内部处理机】华为 HUAWEI Mate S 电信定制臻享版 3GB+32GB（星辰银）	129	
HUAWEI MateS 中国电信定制臻逸128GB版	【内部处理机】华为 HUAWEI Mate S 电信定制臻逸版 3GB+128GB（极昼金）	145	
MateS 国内电信定制臻逸64GB版	【内部处理机】华为 HUAWEI Mate S 电信定制臻逸版 3GB+64GB（极昼金）	209	
MateS 国内双4G渠道臻逸128GB版	【内部处理机】华为 HUAWEI Mate S 双4G渠道臻逸版 3GB+128GB（极昼金）	1	
HUAWEI MateS 国内双4G渠道臻享64GB版	【内部处理机】华为 HUAWEI Mate S 移动/联通双4G版 64GB（苍山灰）	63	
HUAWEI MateS 国内双4G渠道臻享64GB版	【内部处理机】华为 HUAWEI Mate S 移动/联通双4G版 64GB（极昼金）	133	
MateS 国内双4G渠道臻享32GB版	【内部处理机】华为 HUAWEI Mate S 移动/联通双4G版 双卡双待 32GB（星辰银）	71	
